Year,Country,Decile,Avg Wage (Local currency),Avg Wage (2017 PPP $),Avg Wage (U.S. dollars),GDP (Constant 2017 $),Labour Income (% GDP),Labour Force Participation Rate (%),Share of income (Deciles),Min Wage (Local currency),Min Wage (2017 PPP $),Min Wage (U.S. dollars),Population,Total of income (deciles),Average of income (deciles)
1980.0,Albania,1.0,,,,4650625161.0,,,,,,,,,
1980.0,Albania,2.0,,,,4650625161.0,,,,,,,,,
1980.0,Albania,3.0,,,,4650625161.0,,,,,,,,,
1980.0,Albania,4.0,,,,4650625161.0,,,,,,,,,
1980.0,Albania,5.0,,,,4650625161.0,,,,,,,,,
1980.0,Albania,6.0,,,,4650625161.0,,,,,,,,,
1980.0,Albania,7.0,,,,4650625161.0,,,,,,,,,
1980.0,Albania,8.0,,,,4650625161.0,,,,,,,,,
1980.0,Albania,9.0,,,,4650625161.0,,,,,,,,,
1980.0,Albania,10.0,,,,4650625161.0,,,,,,,,,
1980.0,Argentina,1.0,,,,287842000000.0,,,,,,,,,
1980.0,Argentina,2.0,,,,287842000000.0,,,,,,,,,
1980.0,Argentina,3.0,,,,287842000000.0,,,,,,,,,
1980.0,Argentina,4.0,,,,287842000000.0,,,,,,,,,
1980.0,Argentina,5.0,,,,287842000000.0,,,,,,,,,
1980.0,Argentina,6.0,,,,287842000000.0,,,,,,,,,
1980.0,Argentina,7.0,,,,287842000000.0,,,,,,,,,
1980.0,Argentina,8.0,,,,287842000000.0,,,,,,,,,
1980.0,Argentina,9.0,,,,287842000000.0,,,,,,,,,
1980.0,Argentina,10.0,,,,287842000000.0,,,,,,,,,
1980.0,Armenia,1.0,,,,,,,,,,,,,
1980.0,Armenia,2.0,,,,,,,,,,,,,
1980.0,Armenia,3.0,,,,,,,,,,,,,
1980.0,Armenia,4.0,,,,,,,,,,,,,
1980.0,Armenia,5.0,,,,,,,,,,,,,
1980.0,Armenia,6.0,,,,,,,,,,,,,
1980.0,Armenia,7.0,,,,,,,,,,,,,
1980.0,Armenia,8.0,,,,,,,,,,,,,
1980.0,Armenia,9.0,,,,,,,,,,,,,
1980.0,Armenia,10.0,,,,,,,,,,,,,
1980.0,Australia,1.0,,,,452292000000.0,,,,,,,,,
1980.0,Australia,2.0,,,,452292000000.0,,,,,,,,,
1980.0,Australia,3.0,,,,452292000000.0,,,,,,,,,
1980.0,Australia,4.0,,,,452292000000.0,,,,,,,,,
1980.0,Australia,5.0,,,,452292000000.0,,,,,,,,,
1980.0,Australia,6.0,,,,452292000000.0,,,,,,,,,
1980.0,Australia,7.0,,,,452292000000.0,,,,,,,,,
1980.0,Australia,8.0,,,,452292000000.0,,,,,,,,,
1980.0,Australia,9.0,,,,452292000000.0,,,,,,,,,
1980.0,Australia,10.0,,,,452292000000.0,,,,,,,,,
1980.0,Azerbaijan,1.0,,,,,,,,,,,,,
1980.0,Azerbaijan,2.0,,,,,,,,,,,,,
1980.0,Azerbaijan,3.0,,,,,,,,,,,,,
1980.0,Azerbaijan,4.0,,,,,,,,,,,,,
1980.0,Azerbaijan,5.0,,,,,,,,,,,,,
1980.0,Azerbaijan,6.0,,,,,,,,,,,,,
1980.0,Azerbaijan,7.0,,,,,,,,,,,,,
1980.0,Azerbaijan,8.0,,,,,,,,,,,,,
1980.0,Azerbaijan,9.0,,,,,,,,,,,,,
1980.0,Azerbaijan,10.0,,,,,,,,,,,,,
1980.0,Bangladesh,1.0,,,,35654198967.0,,,,,,,,,
1980.0,Bangladesh,2.0,,,,35654198967.0,,,,,,,,,
1980.0,Bangladesh,3.0,,,,35654198967.0,,,,,,,,,
1980.0,Bangladesh,4.0,,,,35654198967.0,,,,,,,,,
1980.0,Bangladesh,5.0,,,,35654198967.0,,,,,,,,,
1980.0,Bangladesh,6.0,,,,35654198967.0,,,,,,,,,
1980.0,Bangladesh,7.0,,,,35654198967.0,,,,,,,,,
1980.0,Bangladesh,8.0,,,,35654198967.0,,,,,,,,,
1980.0,Bangladesh,9.0,,,,35654198967.0,,,,,,,,,
1980.0,Bangladesh,10.0,,,,35654198967.0,,,,,,,,,
1980.0,Barbados,1.0,,,,3576698709.0,,,,,,,,,
1980.0,Barbados,2.0,,,,3576698709.0,,,,,,,,,
1980.0,Barbados,3.0,,,,3576698709.0,,,,,,,,,
1980.0,Barbados,4.0,,,,3576698709.0,,,,,,,,,
1980.0,Barbados,5.0,,,,3576698709.0,,,,,,,,,
1980.0,Barbados,6.0,,,,3576698709.0,,,,,,,,,
1980.0,Barbados,7.0,,,,3576698709.0,,,,,,,,,
1980.0,Barbados,8.0,,,,3576698709.0,,,,,,,,,
1980.0,Barbados,9.0,,,,3576698709.0,,,,,,,,,
1980.0,Barbados,10.0,,,,3576698709.0,,,,,,,,,
1980.0,Belarus,1.0,,,,,,,,,,,,,
1980.0,Belarus,2.0,,,,,,,,,,,,,
1980.0,Belarus,3.0,,,,,,,,,,,,,
1980.0,Belarus,4.0,,,,,,,,,,,,,
1980.0,Belarus,5.0,,,,,,,,,,,,,
1980.0,Belarus,6.0,,,,,,,,,,,,,
1980.0,Belarus,7.0,,,,,,,,,,,,,
1980.0,Belarus,8.0,,,,,,,,,,,,,
1980.0,Belarus,9.0,,,,,,,,,,,,,
1980.0,Belarus,10.0,,,,,,,,,,,,,
1980.0,Belgium,1.0,,,,240499000000.0,,,,,,,,,
1980.0,Belgium,2.0,,,,240499000000.0,,,,,,,,,
